نام,آدرس,نوع پست,ظرفیت,فیدر,کد شناسایی
جاده انزلی تعاونی امکان,جاده انزلی سوقه,اختصاصی,250,پوشش - فیدر خمام,E3101@00000SP02717
پلیس راه,جاده انزلی,عمومی و اختصاصی,50,پوشش - فیدر هلال احمر,E3101@00000SP02721
جاده انزلی مدیران خودرو,جاده انزلی سوقه,اختصاصی,100,پوشش - فیدر خمام,E3101@00000SP02724
بازارچه فرودگاه,جاده انزلی فرودگاه,عمومى,200,پوشش - فیدر هلال احمر,E3101@00000SP02728
کوچه فجر,جاده انزلی جنب بیمارستان آریا,عمومى,100,پوشش - فیدر هلال احمر,E3101@00000SP02730
کارگاه بیرنگ,جاده انزلی,عمومی و اختصاصی,200,پوشش - فیدر خمام,E3101@00000SP02731
روستای سوقه روبروی دهیاری,جاده انزلی,عمومى,200,پوشش - فیدر خمام,E3101@00000SP02732
جاده انزلی نبش کوچه  رهبری,جاده انزلی,عمومى,250,پوشش - فیدر هلال احمر,E3101@00000SP02735
بلوک زنی پیر شالکوهی,جاده انزلی-نبش عرفان کارگاه سنگ بلوک زنی  پیر شالکوهی,عمومى,15,پوشش - فیدر هلال احمر,E3101@00000SP02736
داخل عرفان شالکوهی,جاده انزلی عرفان,عمومى,25,پوشش - فیدر هلال احمر,E3101@00000SP02737
عرفان4,خیابان عرفان - جاده انزلی,عمومى,400,پوشش - فیدر هلال احمر,E3101@00000SP02738
اتاق بازرگانی,جاده انزلی,اختصاصی,50,پوشش - فیدر هلال احمر,E3101@00000SP02739
ایران خودرو صالحی ( آریا پاد سبز),جاده انزلی,اختصاصی,100,پوشش - فیدر هلال احمر,E3101@00000SP02740
سنگ کوپ,جاده انزلی,عمومی و اختصاصی,250,پوشش - فیدر هلال احمر,E3101@00000SP02741
چهارراه دهسرا دوزن دار,جاده انزلی-خیابان عرفان چهارراه دهسرا دوزن دار,عمومى,315,پوشش - فیدر هلال احمر,E3101@00000SP02744
کارگاه محسن مختاری,جاده انزلی - کوی عرفان,اختصاصی,100,پوشش - فیدر هلال احمر,E3101@00000SP02745
کوی سحر خیزکوچه 11,جاده انزلی,عمومى,315,پوشش - فیدر هلال احمر,E3101@00000SP02746
مجتمع آفتاب,جاده انزلی,عمومى,400,پوشش - فیدر هلال احمر,E3101@00000SP02747
بالا کوه یخ,جاده انزلی,عمومی و اختصاصی,315,پوشش - فیدر هلال احمر,E3101@00000SP02748
کارگاه قالب سازی یگانه,جاده انزلی عرفان کوچه شهید کوه یخی,اختصاصی,100,پوشش - فیدر هلال احمر,E3101@00000SP02749
تالار زند,جاده انزلی عرفان,اختصاصی,100,پوشش - فیدر هلال احمر,E3101@00000SP02750
نبش سحرخیز,جاده انزلی,عمومى,250,شهید مقدم - فیدر رینگ شهر,E3101@00000SP02799
کوچه ولیعصر 2   (تجاوزی),جاده انزلی,عمومى,250,شهید مقدم - فیدر رینگ شهر,E3101@00000SP02803
کویرموتور,جاده انزلی,اختصاصی,200,شهید مقدم - فیدر رینگ شهر,E3101@00000SP02804
کوچه خانجانی,جاده انزلی,عمومى,200,شهید مقدم - فیدر رینگ شهر,E3101@00000SP02810
دهسرا جنب کارواش سعادتمند,دهسرا,عمومی و اختصاصی,200,شهید مقدم - فیدر رینگ شهر,E3101@00000SP02811
تراشکاری عزت پژوه,پل پستک,عمومى,25,شهید مقدم - فیدر رینگ شهر,E3101@00000SP02813
پستک کوچه 17  ترانس اول,پستک,عمومى,315,شهید مقدم - فیدر رینگ شهر,E3101@00000SP02816
کوچه 24 (میرزاده )مسجد المهدی,پستک,عمومى,500,شهید مقدم - فیدر رینگ شهر,E3101@00000SP02818
نبش کوچه25,پستک نبش کوچه25,عمومى,500,شهید مقدم - فیدر رینگ شهر,E3101@00000SP02819
 کوچه25  دوم,پستک  کوچه25,عمومى,315,شهید مقدم - فیدر رینگ شهر,E3101@00000SP02822
کوچه نبوت 36,پستک,عمومى,500,شهید مقدم - فیدر رینگ شهر,E3101@00000SP02823
کوی طالقانی کوچه  اول,بلوار خرمشهر کوی طالقانی کوچه  اول,عمومى,400,شهید مقدم - فیدر خرمشهر,E3101@00000SP03125
کوی طالقانی کوچه 4,بلوار خرمشهر کوی طالقانی,عمومى,400,شهید مقدم - فیدر پردیسان,E3101@00000SP03126
کوچه سوم طالقانی,بلوار خرمشهر کوی طالقانی روبروی کارگاه شیرینی پزی جدی نیا,عمومى,250,شهید مقدم - فیدر پردیسان,E3101@00000SP03127
کوی طالقانی کارگاه یحیی جدی,بلوار خرمشهر کوی طالقانی کارگاه شیرینی پزی جدی,اختصاصی,50,شهید مقدم - فیدر پردیسان,E3101@00000SP03128
ایرانسل,کوی طالقانی مزار,عمومى,25,شهید مقدم - فیدر پردیسان,E3101@00000SP03130
مزار-شهرک تقی زاده,کوی طالقانی مزار,عمومى,400,شهید مقدم - فیدر پردیسان,E3101@00000SP03132
نبش کوچه سعدی,دیانتی 12متری گلستان نبش کوچه سعدی,عمومى,400,شهید مقدم - فیدر پردیسان,E3101@00000SP03133
نبش کوچه نظامی گنجوی,12متری گلستان نبش کوچه نظامی گنجوی,عمومى,500,شهید مقدم - فیدر پردیسان,E3101@00000SP03134
کوچه فخرایی,12متری گلستان کوچه فخرایی,عمومى,400,شهید مقدم - فیدر لاهیجان,E3101@00000SP03135
دیانتی باشگاه الغدیر,دیانتی جنب مجتمع الغدیر,عمومی و اختصاصی,400,شهید مقدم - فیدر پردیسان,E3101@00000SP03136
تقوی,دیانتی ایستگاه مینی بوس,عمومى,400,شهید مقدم - فیدر پردیسان,E3101@00000SP03137
مدرسه تقوایی,دیانتی مدرسه تقوایی,عمومى,250,شهید مقدم - فیدر پردیسان,E3101@00000SP03138
جهان صنعت,بلوار خرمشهر روبروی کوچه بهار,عمومی و اختصاصی,200,شهید مقدم - فیدر پردیسان,E3101@00000SP03142
آهن آلات امید,بلوار خرمشهر قبل از پل جانبازان,عمومی و اختصاصی,315,پوشش - فیدر بیجاربنه,E3101@00000SP03150
بلوار خرمشهر ورودی ابریشم,بلوار خرمشهر روبروی کوچه تک ماسوله,عمومى,250,شهید مقدم - فیدر پردیسان,E3101@00000SP03151
پشت کانون,بلوار خرمشهر به سمت مجتمع ابریشم,عمومی و اختصاصی,200,شهید مقدم - فیدر پردیسان,E3101@00000SP03152
سپاه,مجتمع ابریشم فاز 6,عمومى,400,شهید مقدم - فیدر پردیسان,E3101@00000SP03154
کارگاه شیرینی ماهان,پستک کوی طالقانی کارگاه شیرینی ماهان,عمومی و اختصاصی,200,شهید مقدم - فیدر رینگ شهر,E3101@00000SP03157
نبوت 37,پستک کوی بهاران,عمومى,315,شهید مقدم - فیدر رینگ شهر,E3101@00000SP03158
ک جنب دیوار فرودگاه,پستک جنب دیوار فرودگاه,عمومى,250,شهید مقدم - فیدر رینگ شهر,E3101@00000SP03159
کوچه 11,پستک کوچه 11,عمومى,400,توحید - فیدر استاد معین,E3101@00000SP03161
کوچه 16,پستک کوچه 16,عمومى,400,توحید - فیدر استاد معین,E3101@00000SP03172
گلسار خیابان 192 ابتدای کوچه 5,گلسار خیابان 192 ابتدای کوچه5,عمومى,400,توحید - فیدر استاد معین,E3101@00000SP03173
گلسار خیابان 192 کوچه 5کوچه یاس,گلسار خیابان 192 کوچه 5کوچه یاس,عمومى,500,توحید - فیدر استاد معین,E3101@00000SP03174
گلسار خ 192 انتهای کوچه 5 یاس,گلسار خ 192 انتهای کوچه 5 یاس,عمومى,315,توحید - فیدر استاد معین,E3101@00000SP03175
تخته پل کوی طالقانی(شریفی),تخته پل کوی طالقانی(شریفی),عمومى,400,توحید - فیدر پیربازار,E3101@00000SP03176
تحته پل  اول همتی,تحته پل ترانس اول همتی,عمومى,250,توحید - فیدر پیربازار,E3101@00000SP03177
کارگاه نجاری تزینات هنر دیلم,تخته پل کوچه همتی کارگاه نجاری تزینات هنر دیلم,عمومى,25,توحید - فیدر پیربازار,E3101@00000SP03178
کارگاه حسین خادم,تخته پل کوچه همتی,عمومى,15,توحید - فیدر پیربازار,E3101@00000SP03179
پمپاژ آب کشاورزی کوچه بهشتی,پیله داربن  کوچه بهشتی پمپاژ آب کشاورزی,اختصاصی,250,توحید - فیدر پیربازار,E3101@00000SP03180
روبروی کوچه هادیپور,تخته پل ج تصفيه خانه روبروی کوچه هادیپور,عمومى,200,توحید - فیدر پیربازار,E3101@00000SP03181
تصفیه خانه,تخته پل ج تصفيه خانه,اختصاصی,200,توحید - فیدر پیربازار,E3101@00000SP03182
نبش کوچه کشاورز,جاده انزلی نبش کوچه کشاورز,عمومی و اختصاصی,500,شهید مقدم - فیدر رینگ شهر,E3101@00000SP03183
دهسرا بوستان 19,دهسرا بوستان 19,عمومى,315,توحید - فیدر استاد معین,E3101@00000SP03186
میدان دهسرا,میدان دهسرا,عمومى,200,توحید - فیدر استاد معین,E3101@00000SP03187
گلفام,دهسرا زمینهای احمد پناه,عمومى,250,توحید - فیدر استاد معین,E3101@00000SP03193
وصال,خ 126 کوچه وصال,عمومى,400,توحید - فیدر استاد معین,E3101@00000SP03195
سبزینه 1,خ 126 سبزینه 1,عمومى,500,توحید - فیدر استاد معین,E3101@00000SP03196
بهار 9,خ 122  بهار 9,عمومى,500,توحید - فیدر استاد معین,E3101@00000SP03197
بهار 7,خ 122   بهار 7,عمومى,315,توحید - فیدر استاد معین,E3101@00000SP03198
گلسار خیابان 122 کوی فرمانداران,گلسار خیابان 122 کوی فرمانداران,عمومى,315,توحید - فیدر استاد معین,E3101@00000SP03199
پیله داربن(فکوری),جاده پیربازار پیله داربن(فکوری),عمومى,315,توحید - فیدر پیربازار,E3101@00000SP03200
خیابان 122 خیابان10 متری گل ها,خیابان 122 خیابان10 متری گل ها,عمومى,400,توحید - فیدر استاد معین,E3101@00000SP03202
خیابان 1 انتهای ولیعصر,خیابان 125 انتهای ولیعصر,عمومى,400,توحید - فیدر استاد معین,E3101@00000SP03203
توپا,جاده پیربازار روبروی سی ان جی کارگاه توپا,عمومی و اختصاصی,200,توحید - فیدر پیربازار,E3101@00000SP03206
شعاع شرق,جاده پیربازار شعاع شرق,عمومى,250,توحید - فیدر پیربازار,E3101@00000SP03207
شعاع شرق 2,جاده پیربازار اختصاصی شعاع شرق 2,اختصاصی,315,توحید - فیدر پیربازار,E3101@00000SP03210
کماکل اختصاصي تراشکاري مبرهن,جاده پیربازار کماکل اختصاصي تراشکاري مبرهن,اختصاصی,50,توحید - فیدر پیربازار,E3101@00000SP03212
کماکل مسجد المهدی,جاده پیربازار کماکل مسجد المهدی,عمومى,160,توحید - فیدر پیربازار,E3101@00000SP03213
علیزاده,جاده پیربازار کماکل علیزاده,عمومى,100,توحید - فیدر پیربازار,E3101@00000SP03218
میدان فرزانه گنجیان,میدان فرزانه گنجیان,عمومى,160,شهید مقدم - فیدر رینگ شهر,E3101@00000SP03224
ایستگاه انزلی,بلوار خرمشهر میدان فرزانه جنب ترمینال,عمومی و اختصاصی,200,شهید مقدم - فیدر خرمشهر,E3101@00000SP03225
وحدت,بلوار خرمشهر روبروی بلوار اطلاعات زیر خط 63,عمومى,315,شهید مقدم - فیدر خرمشهر,E3101@00000SP03226
پمپ بنزین گیل یار,بلوار خرمشهر پمپ بنزین گیل یار,عمومی و اختصاصی,315,شهید مقدم - فیدر خرمشهر,E3101@00000SP03230
بلوار خرمشهرمجتمع نسترن,بلوار خرمشهر روبروی سی ان جی,عمومی و اختصاصی,315,شهید مقدم - فیدر خرمشهر,E3101@00000SP03239
بلوار خرمشهرچاپخانه اسلامی,بلوار خرمشهر جنب مجتمع نسترن ک جوادی,اختصاصی,200,شهید مقدم - فیدر خرمشهر,E3101@00000SP03240
دوستدار,بلوار خرمشهر کوچه دوستدار,عمومى,315,شهید مقدم - فیدر خرمشهر,E3101@00000SP03248
حافظ,بلوار خرمشهر بعد از پمپ بنزین نبش کوچه محمد باقری,عمومی و اختصاصی,400,شهید مقدم - فیدر خرمشهر,E3101@00000SP03249
سعدی,بلوار خرمشهر ابتدای کوچه سعدی,عمومى,250,شهید مقدم - فیدر خرمشهر,E3101@00000SP03263
عارف رضا پور,بلوار قلی پور کوچه عارف رضا پور,عمومى,400,قلی پور - فیدر کسمایی,E3101@00000SP03286
کوچه اعتصامی کارگاه غلام نژاد,بلوار قلی پور کوچه اعتصامی کارگاه غلام نژاد,اختصاصی,75,قلی پور - فیدر کسمایی,E3101@00000SP03287
اول میرزا کوچک,خیابان میرزا کوچک خان,عمومى,500,شهید مقدم - فیدر گلسار 6,E3101@00000SP03301
جنب مشکین,بلوار انصاری کوی ولیعصر جنب مشگین,عمومى,200,شهید مقدم - فیدر گلسار 6,E3101@00000SP03302
پشت   مقدم,پشت  پست مقدم کوچه ششم,عمومى,400,شهید مقدم - فیدر خرمشهر,E3101@00000SP03304
اسماعیل آباد انتهای کوچه پنجم,اسماعیل آباد انتهای کوچه پنجم,عمومى,400,شهید مقدم - فیدر لاهیجان,E3101@00000SP03305
اسماعیل آباد ,اسماعیل آباد انتهای شفاعت طلب,عمومى,315,شهید مقدم - فیدر لاهیجان,E3101@00000SP03306
ماهی رودخان کوچه 27,ماهی رودخان کوچه 27,عمومى,250,شهید مقدم - فیدر لاهیجان,E3101@00000SP03307
ماهی رودخان کوچه 16,ماهی رودخان کوچه 16,عمومى,400,شهید مقدم - فیدر لاهیجان,E3101@00000SP03308
باشگاه رویین پارسا,بلوار انصاری کوچه موسی نژاد فرعی اول باشگاه رویین پارسا,عمومی و اختصاصی,200,شهید مقدم - فیدر خرمشهر,E3101@00000SP03310
اداره کارمجتمع بوستان,بلوار انصاری اداره کارمجتمع بوستان,عمومى,100,شهید مقدم - فیدر تختی,E3101@00000SP03315
صنایع دستی,بلوار انصاری صنایع دستی,عمومى,250,شهید مقدم - فیدر کانادا,E3101@00000SP03317
بانک تجارت,بلوار انصاری  بانک تجارت,عمومی و اختصاصی,500,شهید مقدم - فیدر تختی,E3101@00000SP03318
مرکز خرید اسکار,بلوار انصاری مرکز خرید اسکار,اختصاصی,100,شهید مقدم - فیدر تختی,E3101@00000SP03319
ولیعصر 2,بلوار انصاری  ولیعصر 2,عمومى,400,شهید مقدم - فیدر تختی,E3101@00000SP03321
یعقوب زاده,بلوار انصاری یعقوب زاده,عمومى,500,شهید مقدم - فیدر کانادا,E3101@00000SP03322
کوچه مهر آیین بانک رفاه,بلوار انصاری کوچه مهر آیین بانک رفاه,اختصاصی,50,شهید مقدم - فیدر تختی,E3101@00000SP03323
گلباغ نماز آب نما,گلباغ نماز آب نما,اختصاصی,100,شهید مقدم - فیدر کانادا,E3101@00000SP03324
کوچه پیام,بلوار انصاری کوچه پیام,عمومى,500,شهید مقدم - فیدر کانادا,E3101@00000SP03326
مدرسه پسرانه شاهد,بلوار نماز مدرسه پسرانه شاهد,عمومى,100,شهید مقدم - فیدر کانادا,E3101@00000SP03328
ایران کلینیک -سناتور,بلوار نماز ایران کلینیک --سناتور,اختصاصی,315,قلی پور - فیدر یادگار امام,E3101@00000SP03330
محبوبی,بلوار نماز محبوبی,عمومى,200,قلی پور - فیدر یادگار امام,E3101@00000SP03331
کوچه ابن سینا,بلوار نماز کوچه ابن سینا,عمومى,400,قلی پور - فیدر یادگار امام,E3101@00000SP03333
کوچه گلها,بلوار نماز کوچه گلها,عمومى,500,قلی پور - فیدر یادگار امام,E3101@00000SP03334
کوچه مدرسه دخترانه شاهد,بلوار نماز کوچه مدرسه دخترانه شاهد,عمومی و اختصاصی,500,قلی پور - فیدر یادگار امام,E3101@00000SP03336
درمانگاه صابرین,بلوار نماز درمانگاه صابرین,عمومی و اختصاصی,500,قلی پور - فیدر نواب,E3101@00000SP03338
بلوار اردشیری نبش نواب,بلوار اردشیری نبش نواب,عمومى,400,قلی پور - فیدر یادگار امام,E3101@00000SP03339
کارگاه پل سازی شعاع شرق,بلوار اردشیری کارگاه پل سازی شعاع شرق,عمومى,25,قلی پور - فیدر یادگار امام,E3101@00000SP03340
قلی پور جنب درمانگاه نصر,قلی پورجنب در مانگاه نصر,عمومى,500,قلی پور - فیدر نواب,E3101@00000SP03341
جوادی,بلوار قلی پور نبش کوچه جوادی,عمومى,500,قلی پور - فیدر یادگار امام,E3101@00000SP03342
کوچه وحدت,بلوار قلی پور  کوچه وحدت,عمومى,500,قلی پور - فیدر بوسار,E3101@00000SP03343
روبروی  فوق توزیع قلی پور,روبروی پست فوق توزیع قلی پور,عمومی و اختصاصی,200,قلی پور - فیدر نواب,E3101@00000SP03344
بلوار قلی پور کوی شهدا,بلوار قلی پور کوی شهدا,عمومى,315,قلی پور - فیدر توحید,E3101@00000SP03346
شهید احمد وارسته,بلوار قلی پور  کوچه شهید احمد وارسته,عمومى,500,قلی پور - فیدر فرهنگیان,E3101@00000SP03349
شهید قلی پور,بلوار قلی پور کوچه اول,عمومى,500,قلی پور - فیدر کوی حسینی,E3101@00000SP03350
پارک توحید,بلوار اردشیری پارک توحید,اختصاصی,200,قلی پور - فیدر فرهنگیان,E3101@00000SP03353
آزمایشگاه سپهر,بلوار اردشیری آزمایشگاه سپهر,عمومی و اختصاصی,400,قلی پور - فیدر فرهنگیان,E3101@00000SP03354
تاکسیرانی,بلوار اردشیری تاکسیرانی,عمومى,400,قلی پور - فیدر فرهنگیان,E3101@00000SP03355
بلوار اردشیری روشنایی پل,بلوار اردشیری روشنایی پل,اختصاصی,315,قلی پور - فیدر فرهنگیان,E3101@00000SP03356
صابرین - فروشگاه ایرونی,صابرین - فروشگاه ایرونی,عمومی و اختصاصی,400,قلی پور - فیدر فرهنگیان,E3101@00000SP03358
روبروی صابرین,میدان صابرین,عمومی و اختصاصی,500,قلی پور - فیدر فرهنگیان,E3101@00000SP03359
همایون,میدان صابرین شیرینی همایون,عمومی و اختصاصی,315,قلی پور - فیدر فرهنگیان,E3101@00000SP03360
روبروی شاهد,بلوار نماز,عمومی و اختصاصی,315,قلی پور - فیدر فرهنگیان,E3101@00000SP03361
خروجی شهرک گلها,بلوار نماز,عمومى,400,قلی پور - فیدر فرهنگیان,E3101@00000SP03362
دوم گلها,بلوار نماز,عمومی و اختصاصی,400,قلی پور - فیدر فرهنگیان,E3101@00000SP03363
بلوار نماز جنب کوچه امداد,بلوار نماز جنب تابلو کوچه امداد,عمومى,400,قلی پور - فیدر فرهنگیان,E3101@00000SP03364
گلباغ,بلوار نماز,عمومى,315,قلی پور - فیدر فرهنگیان,E3101@00000SP03366
بانک توسه تعاون,بلوار انصاری پارس 1,عمومی و اختصاصی,400,شهید مقدم - فیدر تختی,E3101@00000SP03367
فنی حرفه ای باهنر رشت,بلوار انصاری فنی حرفه ای باهنر رشت,اختصاصی,250,شهید مقدم - فیدر کانادا,E3101@00000SP03368
موسسه مالی و اعتباری کوثر,بلوار انصاری موسسه مالی و اعتباری کوثر,اختصاصی,100,شهید مقدم - فیدر تختی,E3101@00000SP03369
راهنمایی رانندگی,بلوار انصاری راهنمایی رانندگی,عمومی و اختصاصی,315,شهید مقدم - فیدر کانادا,E3101@00000SP03370
استاد معین,بلوار انصاری استاد معین,عمومى,250,شهید مقدم - فیدر تختی,E3101@00000SP03371
روبروی پارک ملت,بلوار انصاری روبروی رادیو,اختصاصی,200,شهید مقدم - فیدر تختی,E3101@00000SP03372
ک دوم کوچه 16,پستک کوچه 16,عمومى,250,توحید - فیدر استاد معین,E3101@00000SP03373
آتش نشانی,بلوار انصاری  آتش نشانی,عمومی و اختصاصی,315,شهید مقدم - فیدر تختی,E3101@00000SP03374
مکتب نرجسی,بلوار انصاری مکتب نرجسی,عمومى,315,شهید مقدم - فیدر تختی,E3101@00000SP03375
اداره کار,بلوار انصاری اداره کار,عمومی و اختصاصی,400,شهید مقدم - فیدر تختی,E3101@00000SP03376
نبش کوچه 12 استاد معین,بلوار استاد معین نبش کوچه 12,عمومى,400,,E3101@00000SP03378
نبش کوچه 5 استاد معین,بلوار استاد معین نبش کوچه 5,عمومى,500,,E3101@00000SP03379
دیلمان- گیل سرام,بلوار دیلمان نرسیده به تقاطع انصاری,اختصاصی,100,شهید مقدم - فیدر گلسار 6,E3101@00000SP03458
دوم میرزا کوچک خان,بلوار انصاری روبروی نظام مهندسی کوچه میرزاکوچک خان,عمومى,315,شهید مقدم - فیدر گلسار 6,E3101@00000SP03459
نبش متین,بلوار دیلمان,عمومى,500,شهید مقدم - فیدر گلسار 6,E3101@00000SP03460
آذر اندامی,بلوار دیلمان,عمومى,500,شهید مقدم - فیدر گلسار 6,E3101@00000SP03471
کوچه پنجم,بلوار دیلمان  خیابان آذر اندامی,عمومى,315,شهید مقدم - فیدر گلسار 6,E3101@00000SP03472
بارش 3 دانشگاه سما,بلوار دیلمان خیابان آذر اندامی بارش 3,عمومی و اختصاصی,315,شهید مقدم - فیدر گلسار 6,E3101@00000SP03473
شهرک بهشتی مدرسه کوثر,شهرک بهشتی شیر خانی,عمومى,500,شهید مقدم - فیدر گلسار 6,E3101@00000SP03475
کوچه نسیم,بلوار دیلمان,عمومى,500,شهید مقدم - فیدر گلسار 6,E3101@00000SP03479
بلوار دیلمان کوچه نبوت,بلوار دیلمان,عمومى,315,شهید مقدم - فیدر دیلمان,E3101@00000SP03481
کفترود جاده سپید ماکیان شعاعی,کفترود جاده سپید ماکیان شعاعی,اختصاصی,100,طالقانی - فیدر پسیخان,E3101@00000SP03485
کفترود نرسیده به سپید ماکیان,کفترود نرسیده به سپید ماکیان,عمومى,100,تولمات - فیدر شیخ محله,E3101@00000SP03486
سیکاس,بلوار دیلمان نبوت کوچه سیکاس,عمومى,500,شهید مقدم - فیدر دیلمان,E3101@00000SP03487
گل مینا,بلوار دیلمان خیابان نبوت,عمومى,315,شهید مقدم - فیدر دیلمان,E3101@00000SP03488
روبروی ماهان,بلوار دیلمان,عمومى,400,شهید مقدم - فیدر گلسار 6,E3101@00000SP03489
بلوار دیلمان صادق پور ,بلوار دیلمان صادق پور روبروی یلدا,عمومى,315,شهید مقدم - فیدر گلسار 6,E3101@00000SP03494
بلوار دیلمان بهارستان,بلوار دیلمان بهارستان,عمومى,400,شهید مقدم - فیدر گلسار 6,E3101@00000SP03495
بلوار دیلمان_گلستان,بلوار دیلمان_گلستان,عمومی و اختصاصی,315,شهید مقدم - فیدر گلسار 6,E3101@00000SP03497
بلوار دیلمان  شقایق,بلوار دیلمان  شقایق,عمومى,315,شهید مقدم - فیدر گلسار 6,E3101@00000SP03501
چهار راه بهشتی,بلوار دیلمان چهار راه بهشتی,عمومى,315,شهید مقدم - فیدر گلسار 6,E3101@00000SP03502
بوستان 5,خیابان میرابوالقاسمی,عمومى,500,شهید مقدم - فیدر گلسار 6,E3101@00000SP03503
بلوار دیلمان3,خیابان میر ابوالقاسمی بین بوستان 7جدیدو12,عمومی و اختصاصی,200,شهید مقدم - فیدر دیلمان,E3101@00000SP03504
